,clean_text,non_vio_prob,vio_prob,violence_prediction
950,gsquare the chemical brothers t co pemgn iiyt,0.9288554058690179,0.0711445941309822,0.0
459,grinch erkenseimegidelim yzde varmgrelim akp seems sure support hand ignores early election requests,0.9400768478273938,0.059923152172606096,0.0
622,dtn world news vow stay put vow continue occupying ge t co lrovmx xjx,0.979625174824824,0.020374825175176116,0.0
20,petercnm the world watching this be strong,0.9550067866800312,0.04499321331996869,0.0
922,senayataselim a dream dream alone dream a dream dream together reality john lennon gezipark,0.9289076581666311,0.0710923418333687,0.0
346,besiktas going down by gov police help,0.4824393340874565,0.5175606659125436,1.0
549,occupydenmark create public food resources streets stanbul photo record ht,0.9493740832812954,0.050625916718704644,0.0
341,zeynep ikoker solidarity platform police uses extensive rubber bullets tear gas stun grenades,0.5451132982270173,0.4548867017729826,1.0
242,fireworks going minutes ago wearegezi t co a xg bp via crypt nymous,0.9380326687559621,0.06196733124403791,0.0
599,asli agaoglu people crossing bridge support it protesting direngezipaki,0.9297028693002481,0.07029713069975213,0.0
1089,rober jua tracking drop tweets lot ppl talking police attack t co tf wnfvwez,0.8046799849684796,0.1953200150315206,0.0
533,amnestyonline must halt brutal police repression investigate abuses t co wghkhtjifl humanrights,0.8123164519050716,0.1876835480949285,0.0
135,com despite attack t co tzzz yip m continue post updates bradley manning trial,0.9525829779656416,0.04741702203435835,0.0
362,police fire teargas anti government video ibtimes t co mfbykkip,0.4057740525958132,0.5942259474041869,1.0
180,if i get sunburnt degrees one morning i idea i'm going survive two weeks august,0.9066154150360141,0.093384584963986,0.0
572,youranonnews everyday i'm apuling the soundtrack t co letepcsmz,0.9124650384664813,0.08753496153351895,0.0
388,cyberrights bbc news ankara clash police t co rare gc qs wake i slick wanna download candy crush play quit cold jus prove yal aint deep lol spotify daniel ek the important man music t co qttvnz p forbesgreatesthits why square matters t co fnt kvpve swimming swimming turkiet marmaris travel lovetravel resa instatravel voyage journey t co c kmnpxpf tear gas streets gazi mahallesi tonight neighborhood t co qb kcfxurs via batmanwi,0.18337372233078433,0.8166262776692157,1.0
1004,prime minister blames opposition t co pngqlmnktg,0.9639739473781007,0.03602605262189915,0.0
941,canbener whats going https t co xasprflfby anonopslegion reuters,0.9506083947501756,0.04939160524982445,0.0
829,latvia v volleyball european championships live stream june t co cpzkizpwm,0.931624572748341,0.06837542725165897,0.0
908,vot tomorrow the world will be watching all across the country vot resistance people great inspiration thousands square t co qe acis hc hi pearljam hear us t co ilaoiyjqgl sos jallen mikaylaniles look peacock me umm that mikayla,0.9466094495649054,0.05339055043509449,0.0
407,rebel in seconds the greatest resistance to the police in the world t co cmpv q x q vimeo policestate the,0.826850867815993,0.17314913218400707,0.0
466,bbcworld tear gas fired square listen journalist tells bbcnewshour very intense scenes t co b,0.6410856855456545,0.3589143144543455,1.0
1292,reacts popes remarks so called armenian genocide the foreign ministry reacted t co j ej pdc,0.9559839093512211,0.044016090648778886,0.0
715,this people pay last respect abdullah cmert killed anti government antakya t co fwdlyn,0.858245507105606,0.1417544928943942,0.0
770,riot police break up peaceful sit in to protect riot police used tea t co omvgxfc le,0.2430262003007019,0.7569737996992979,1.0
365,tolstoythebear sorry say yes c i heart certain places sony took gobbled like large leg,0.9425328541706574,0.057467145829342765,0.0
1028,bowl loaded making legs ima lemon pepper hoes lol,0.9056259813786852,0.09437401862131496,0.0
987,i want aunt go back,0.9358792439362684,0.06412075606373144,0.0
1113,canikligil erdogan destroying himself amazing,0.9597881448356697,0.040211855164330304,0.0
51,rodrikdani stopped reading davutoglu oped all segments society enjoy basic rights rule law t,0.8200283746626101,0.1799716253373899,0.0
40,emilyhaddigan got win lol u win drinks u,0.9331300382212036,0.06686996177879627,0.0
143,youranonnews gov't declares war citizens return terrorist supporters t co rvma,0.9299324957077374,0.07006750429226266,0.0
935,cnni turkeys take musical break t co papzbntqy,0.8983728988430618,0.10162710115693828,0.0
927,peachesnisker gained awesome points tweet,0.903779833945027,0.0962201660549728,0.0
38,zeynep well coming penguins join stencils coming amazing h t enginonder t co qiwmfepko,0.9654654049395979,0.0345345950604021,0.0
476,rodrikdani police forced journalists lots speculation evidence planting tents which pol,0.8226857480928833,0.1773142519071167,0.0
508,some photos via rabble cenes istanbul' t co xjbtrqbqqu,0.9415118009082027,0.058488199091797095,0.0
601,anonymouswwn tweeting terrorism the world demands brutality oppression end now resistanbul,0.9615308386160503,0.03846916138394975,0.0
594,youranonnews government threatens pressurized water that behalf democracy usa amnesty t co ap eboor,0.93591598481951,0.06408401518049006,0.0
1228,green eyes this chemical added water cannons t co qhegurep q trpardus via cr,0.8039921866259067,0.19600781337409356,0.0
850,i dunno eggs bacon,0.9270760462841077,0.07292395371589236,0.0
699,images direngezi t co ljlbuy q y,0.8963156977987039,0.10368430220129637,0.0
1226,techsoc new blog is social media fueled style my analysis t co rpdjunwqms,0.9590090684242699,0.040990931575730055,0.0
803,lilly resident of we lt you https t co spwyy mqsy,0.9307330288218454,0.06926697117815464,0.0
691,benjaminharvey cnn international correspondent ivancnn covering growing cnn turk showing music videos,0.9057324365236495,0.09426756347635024,0.0
249,rogerfederer hey congrats roger you deserved totally give retweet peaceful protestors pls,0.9356878082096529,0.06431219179034732,0.0
11,police crush ankara photos video,0.788274626330466,0.21172537366953406,0.0
507,ml dodecanese is border reg magnitudeml regiondodecanese is border regdate time t co x iaeowdb,0.9288702171939138,0.07112978280608606,0.0
451,intelligencehub timeline events police escalate attacks healthcare workers doctors t co juulvb hoh via,0.5153122700669943,0.48468772993300546,1.0
794,government respect peaceful act aleviate violence we grieve losses injuries occupyturkey,0.8953317083682495,0.10466829163175055,0.0
705,lianamistretta good morning t co odwx unkwv,0.9184987142086279,0.08150128579137206,0.0
522,iman nl help spreading news there is media blackout in occupyturkiye turkishspring t co w z b z,0.860857095917361,0.13914290408263924,0.0
1161,washingtonpoint erdogan we know hotels let terrorists sleep hotels divan hotel hold accounta,0.9828925681687904,0.017107431831209597,0.0
240,jews kurdistan dont kurds deserve solidarity media attention why selective empathy comes,0.9618394421803329,0.038160557819667124,0.0
632,setting tents field direngezi blockupy revolution t co n limhzxui,0.8397605115864359,0.16023948841356409,0.0
393,bbbegypt g s 'to chapul chapul' takes swipe power laughter t co i kd xghka via hdner,0.9309191626413845,0.06908083735861559,0.0
70,soit goes purchased million teargas yrs accumulating tons t co sl lpsfofk t co wd zx enp,0.7515400331107487,0.24845996688925118,0.0
640,michaelhayes a widely circulated photo from the in is actually from a marathon t co pvygy gog t co wsxm,0.8872239875723256,0.11277601242767465,0.0
1218,imagine ppl around table how f would even work is even emotionally possible friends,0.8114290935961533,0.18857090640384674,0.0
1111,the domino effect beautiful t co vcrd mj,0.9288554058690179,0.0711445941309822,0.0
324,news anarchy alt san francisco police swarm gardens prevent re occupation as wit t co mcrpybczzu retweet current,0.8262030641395958,0.17379693586040443,0.0
868,she called report kidnapped,0.9559839093512211,0.044016090648778886,0.0
1170,com photo police deploy water cannon tear gas ankara t co exkldtwuh,0.04691290248594678,0.9530870975140531,1.0
1211,german court says swayed ecb bond buying success t co upbr fovz,0.8685942882798188,0.1314057117201812,0.0
1276,nchuntnfish north carolina hunters set sixth straight record spring season learn more t co x kzf yp,0.9799288457863202,0.020071154213679863,0.0
824,to anyone known the grillmaster i rightfully pass title onto rupert he makes mean burger,0.9522676386312703,0.04773236136872972,0.0
735,reutersworld in least injured police clash t co fpylrsv na t,0.19804610436971176,0.8019538956302884,1.0
1250,that leg fucked though,0.9288554058690179,0.0711445941309822,0.0
152,vot milan solidarity revolt t co czlapwl nc,0.97420963060807,0.02579036939193004,0.0
1027,leg funnel cake onion blossom sound good right now,0.901041506211285,0.09895849378871517,0.0
259,weeks today ill,0.9389118358423899,0.06108816415761013,0.0
1002,headhntr this this abuse state power media censorship democracy t co,0.977989129241939,0.02201087075806107,0.0
291,at height political career erdogan powers put test haaretz t co ghfuz gif,0.9629338603075461,0.037066139692453905,0.0
